source,en,zh-tw,zh-cn
排列: {},Layout: {},排列: {},排列: {}
排列方式,Arrangement,排列方式,排列方式
排名,Ranking,排名,排名
排序,Sort,排序,排序
排序: {},Sort: {},排序: {},排序: {}
排序: {}{},Sort: {}{},排序: {}{},排序: {}{}
排序方式,Sort by,排序方式,排序方式
推薦閱讀的日志,Recommended reading blogs,推薦閱讀的日志,推荐阅读的日志
提交,Submit,提交,提交
提交中...,Submitting...,提交中...,提交中...
提交投票,Submit vote,提交投票,提交投票
提示信息,Prompt message,提示信息,提示信息
提醒,Reminder,提醒,提醒
搜尋,Search,搜尋,搜索
搜尋中...,Searching...,搜尋中...,搜索中...
搜尋作者頁 {} / {},Searching author page {} / {},搜尋作者頁 {} / {},搜索作者页 {} / {}
搜尋失敗,Search failed,搜尋失敗,搜索失败
搜尋帖子...,Search posts...,搜尋帖子...,搜索帖子...
搜尋收藏,Search favorites,搜尋收藏,搜索收藏
搜尋收藏標題...,Search favorite titles...,搜尋收藏標題...,搜索收藏标题...
搜尋標題...,Search title...,搜尋標題...,搜索标题...
搜尋標題或連結...,Search title or link...,搜尋標題或連結...,搜索标题或链接...
搜尋無結果,No results found,搜尋無結果,搜索无结果
摘要,Summary,摘要,摘要
操作完成,Action completed,操作完成,操作完成
收藏,Favorites,收藏,收藏
收藏位置已更新,Favorite location updated,收藏位置已更新,收藏位置已更新
收藏刪除,Favorite deletion,收藏刪除,收藏删除
收藏功能開發中,Favorite function is under development,收藏功能開發中,收藏功能开发中
收藏同步,Favorite synchronization,收藏同步,收藏同步
收藏同步偏好,Favorite sync preferences,收藏同步偏好,收藏同步偏好
收藏日志,Favorite log,收藏日志,收藏日志
收藏更新,Favorite updates,收藏更新,收藏更新
收藏更新中斷,Favorite update interrupted,收藏更新中斷,收藏更新中断
收藏更新失敗,Favorite update failed,收藏更新失敗,收藏更新失败
收藏更新完成,Favorite update completed,收藏更新完成,收藏更新完成
收藏更新已中斷,Favorite update has been interrupted,收藏更新已中斷,收藏更新已中断
收藏更新檢查週期,Favorite update check cycle,收藏更新檢查週期,收藏更新检查周期
收藏本版,Bookmark this forum,收藏本版,收藏本版
收藏模塊比率,Favorite module ratio,收藏模塊比率,收藏模块比率
收藏管理,Favorites,收藏管理,收藏管理
收藏選單,Favorites menu,收藏選單,收藏菜单
收藏項目缺少帖子 ID：{},Favorite item is missing a thread ID: {},收藏項目缺少帖子 ID：{},收藏项目缺少帖子 ID：{}
收藏順序,Favorite order,收藏順序,收藏顺序
收藏顯示,Favorite display,收藏顯示,收藏显示
文字大小,Text size,文字大小,文字大小
文字排版,Text layout,文字排版,文字排版
新增 {} 則回覆,Added {} replies,新增 {} 則回覆,新增 {} 则回复
新增、編輯、刪除或調整你的收藏類別,"Add, edit, delete or adjust your favorite categories",新增、編輯、刪除或調整你的收藏類別,新增、编辑、删除或调整你的收藏类别
新增收藏時詢問同步,Ask to sync when adding a favorite,新增收藏時詢問同步,新增收藏时询问同步
新增收藏預設動作,New favorite default actions,新增收藏預設動作,新增收藏默认动作
新增書籤,Add bookmark,新增書籤,新增书签
新增筆記,Add new note,新增筆記,新增笔记
新增集合,Add new collection,新增集合,新增集合
新增類別,Add category,新增類別,新增类别
新版已可下載。你可以立即下載更新，或稍後到設定中的 App 更新頁處理。,"A new version is available. You can download the update now, or go to Settings > App updates later.",新版已可下載。你可以立即下載更新，或稍後到設定中的 App 更新頁處理。,新版已可下载。你可以立即下载更新，或稍后到设置中的 App 更新页处理。
新版本 {} 正在準備中,Version {} is being prepared,新版本 {} 正在準備中,新版本 {} 正在准备中
日,Day,日,日
日志,Blog,日志,日志
日志評論,Blog comments,日志評論,日志评论
日曆月份：{},Calendar month: {},日曆月份：{},日历月份：{}
日誌,Blog,日誌,日志
星星按鈕可直接收藏，長按可指定小集合,Tap the star button to favorite directly; long press to assign to a collection.,星星按鈕可直接收藏，長按可指定小集合,星星按钮可直接收藏，长按可指定小集合
昨天,Yesterday,昨天,昨天
是,Yes,是,是
是否要刪除所有路徑下的收藏,Do you want to delete favorites under all paths?,是否要刪除所有路徑下的收藏,是否要删除所有路径下的收藏
智能更新策略尚未接入，暫停週期背景檢查。,Smart update strategy not yet implemented. Periodic background checks are paused.,智能更新策略尚未接入，暫停週期背景檢查。,智能更新策略尚未接入，暂停周期后台检查。
智能更新（TODO）,Smart update (TODO),智能更新（TODO）,智能更新（TODO）
暫不支持跳轉到公告頁,Jumping to the announcement page is not supported yet.,暫不支持跳轉到公告頁,暂不支持跳转到公告页
暫無評論,No comments yet,暫無評論,暂无评论
更多,More,更多,更多
更新,Update,更新,更新
更新日誌,Update log,更新日誌,更新日志
更新時間,Update time,更新時間,更新时间
更新檔案尚未發布完成，請稍後再試。來源：{},Update files are not fully published yet. Please try again later. Source: {},更新檔案尚未發布完成，請稍後再試。來源：{},更新文件尚未发布完成，请稍后再试。来源：{}
更新檢查完成,Update check completed,更新檢查完成,更新检查完成
更新檢查已中斷,Update check interrupted,更新檢查已中斷,更新检查已中断
更新檢查已取消,Update check canceled,更新檢查已取消,更新检查已取消
更新檢查被系統中斷,Update check interrupted by system,更新檢查被系統中斷,更新检查被系统中断
更新資訊來自 manifest；牆內使用者可優先使用 Gitee/Gitea 鏡像源。,Update information comes from manifest. Mainland users can prioritize Gitee/Gitea mirror sources.,更新資訊來自 manifest；牆內使用者可優先使用 Gitee/Gitea 鏡像源。,更新信息来自 manifest；墙内用户可优先使用 Gitee/Gitea 镜像源。
更新頁不需要網路載入,The update page does not require network loading,更新頁不需要網路載入,更新页不需要网络加载
書櫃,Bookcase,書櫃,书柜
最後一次同步時間,Last sync time,最後一次同步時間,最后一次同步时间
最後一次閱讀,Last read,最後一次閱讀,最后一次阅读
最後更新 {},Last updated {},最後更新 {},最后更新 {}
最後更新於 {},Last updated at {},最後更新於 {},最后更新于 {}
最後章節：{},Last chapter: {},最後章節：{},最后章节：{}
最後編輯於 {},Last edited at {},最後編輯於 {},最后编辑于 {}
最後訪問,Last visited,最後訪問,最后访问
最新發表的日志,Latest published blogs,最新發表的日志,最新发表的日志
最近閱讀 ,Recently read,最近閱讀 ,最近阅读
最近閱讀 {},Recently read {},最近閱讀 {},最近阅读 {}
有 {} 項收藏已曾同步過至 {}，不進行重複同步,{} favorites were already synced to {} and will not be synced again,有 {} 項收藏已曾同步過至 {}，不進行重複同步,有 {} 项收藏已同步过至 {}，不进行重复同步
未加入大類,Not added to main category,未加入大類,未加入大类
未命名帖子,Untitled thread,未命名帖子,未命名帖子
未登入，請先登入後再收藏,Not logged in. Please log in first before adding favorites.,未登入，請先登入後再收藏,未登录，请先登录后再收藏
本周 7 天,7 days this week,本周 7 天,本周 7 天
本周時數,Hours this week,本周時數,本周时长
本帖評分,Rate this post,本帖評分,本帖评分
本帖隱藏內容需要積分: {},Hidden content requires score: {},本帖隱藏內容需要積分: {},本帖隐藏内容需要积分: {}
本月,This month,本月,本月
本月時數,Hours this month,本月時數,本月时长
本月簽到表格,Monthly sign-in calendar,本月簽到表格,本月签到表格
查無登入資料，請重新登入,No login data found. Please sign in again.,查無登入資料，請重新登入,查无登录资料，请重新登录
查看,View,查看,查看
查看標籤列表,View tag list,查看標籤列表,查看标签列表
查看進度,View progress,查看進度,查看进度
標為已讀,Mark as read,標為已讀,标为已读
標為未讀,Mark as unread,標為未讀,标为未读
標籤列表,Tag list,標籤列表,标签列表
標籤漫畫章節數,Tag manga chapters,標籤漫畫章節數,标签漫画章节数
橫排卡片,Row cards,橫排卡片,横排卡片
橫排卡片(無封面),Row cards (no cover),橫排卡片(無封面),横排卡片（无封面）
檢查中...,Checking...,檢查中...,检查中...
檢查更新,Check for updates,檢查更新,检查更新
檢查更新失敗,Update check failed,檢查更新失敗,检查更新失败
檢查版本、下載 APK 與打開安裝流程,"Check versions, download APKs, and start installation",檢查版本、下載 APK 與打開安裝流程,检查版本、下载 APK 与打开安装流程
檢查通知權限、電池最佳化與背景同步所需的系統設定。,"Check system settings required for notification permissions, battery optimization, and background sync.",檢查通知權限、電池最佳化與背景同步所需的系統設定。,检查通知权限、电池优化与后台同步所需的系统设置。
檢查通知權限、電池最佳化與背景同步所需設定,"Notification permissions, battery optimization, and background sync setup",檢查通知權限、電池最佳化與背景同步所需設定,检查通知权限、电池优化与后台同步所需设置
正在下載更新...,Downloading update...,正在下載更新...,正在下载更新...
正在取得收藏頁,Loading favorites page,正在取得收藏頁,正在获取收藏页
正在同步到百合會...,Syncing to Yamibo...,正在同步到百合會...,正在同步到百合会...
正在定位連結,Locating link,正在定位連結,正在定位链接
正在建立備份,Creating backup,正在建立備份,正在建立備份
正在建立同步任務,Creating sync task,正在建立同步任務,正在建立同步任务
正在從百合會移除收藏...,Removing favorites from Yamibo...,正在從百合會移除收藏...,正在从百合会移除收藏...
正在收藏本版...,Bookmarking this forum...,正在收藏本版...,正在收藏本版...
正在檢查收藏更新,Checking for favorites updates,正在檢查收藏更新,正在检查收藏更新
正在檢查更新,Checking for updates,正在檢查更新,正在检查更新
正在簽到...,Signing in...,正在簽到...,正在签到...
正在與{}聊天中......,Chatting with {}...,正在與{}聊天中......,正在与{}聊天中......
正在解除本版收藏...,Removing forum bookmark...,正在解除本版收藏...,正在解除本版收藏...
正在計算中...,Calculating...,正在計算中...,正在计算中...
正在載入上一個分頁...,Loading previous page...,正在載入上一個分頁...,正在载入上一页...
正在載入下一個分頁...,Loading next page...,正在載入下一個分頁...,正在载入下一页...
正在載入選項,Loading options,正在載入選項,正在载入选项
此收藏已同步到百合會。,This favorite is already synced to Yamibo.,此收藏已同步到百合會。,此收藏已同步到百合会。
此連結暫不支援 App 內開啟,This link does not support opening in-app yet.,此連結暫不支援 App 內開啟,此链接暂不支持应用内打开
每日簽到,Daily sign-in,每日簽到,每日签到
每日簽到模式與補簽偏好,Daily sign-in mode and make-up sign preferences,每日簽到模式與補簽偏好,每日签到模式与补签偏好
每日维护,Daily maintenance,每日维护,每日维护
沒有偵測到更新,No updates detected,沒有偵測到更新,没有检测到更新
沒有可繼續的收藏更新任務,No ongoing favorite update tasks,沒有可繼續的收藏更新任務,没有可继续的收藏更新任务
沒有找到Ta的主題,No threads found for this user,沒有找到Ta的主題,没有找到Ta的主题
沒有找到Ta的回復,No reply found from Ta,沒有找到Ta的回復,沒有找到Ta的回復
沒有找到Ta的回覆,No replies found from this user,沒有找到Ta的回覆,没有找到Ta的回复
沒有找到Ta的日志,No blogs found for this user,沒有找到Ta的日志,没有找到Ta的日志
沒有找到主題,No threads found,沒有找到主題,没有找到主题
沒有找到回復,No reply found,沒有找到回復,沒有找到回復
沒有找到回覆,No replies found,沒有找到回覆,没有找到回复
沒有找到圖片,No images found,沒有找到圖片,没有找到图片
沒有找到在線成員,No online members found,沒有找到在線成員,没有找到在线成员
沒有找到好友,No friends found,沒有找到好友,没有找到好友
沒有找到好友的日志,No friends' blogs found,沒有找到好友的日志,没有找到好友的日志
沒有找到提醒,No reminders found,沒有找到提醒,没有找到提醒
沒有找到搜尋結果,No search results found,沒有找到搜尋結果,没有找到搜索结果
沒有找到日志,No blogs found,沒有找到日志,没有找到日志
沒有找到標籤,No tags found,沒有找到標籤,没有找到标签
沒有找到消息,No messages found,沒有找到消息,没有找到消息
沒有找到相關主題,No related threads found,沒有找到相關主題,没有找到相关主题
沒有找到訪客,No visitors found,沒有找到訪客,没有找到访客
沒有找到評論,No comments found,沒有找到評論,没有找到评论
沒有找到足跡,No footprints found,沒有找到足跡,没有找到足迹
注冊時間,Registration time,注冊時間,注册时间
消息,Messages,消息,消息
消息提醒,Message reminder,消息提醒,消息提醒
深色模式,Dark mode,深色模式,深色模式
淺色模式,Light mode,淺色模式,浅色模式
清空,Clear,清空,清空
清空全選,Clear selection,清空全選,清空全选
清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。,"Clear images, pages, and other temporary data to free storage.",清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。,清除图片、页面与其他暂存资料，释放目前已使用的存储空间。
"清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。
目前緩存大小：{}","Clear images, pages, and other temporary data to free up storage.
Current cache size: {}","清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。
目前緩存大小：{}","清除图片、页面与其他暂存资料，释放当前已使用的存储空间。
当前缓存大小：{}"
清除閱讀紀錄,Clear reading history,清除閱讀紀錄,清除阅读记录
準備同步任務,Preparing sync task,準備同步任務,准备同步任务
準備定位,Preparing positioning,準備定位,准备定位
準備檢查收藏更新,Preparing favorite update check,準備檢查收藏更新,准备检查收藏更新
漫畫模式,Comic mode,漫畫模式,漫画模式
漫畫閱讀器,Manga Reader,漫畫閱讀器,漫画阅读器
漫畫閱讀模式,Comic reading mode,漫畫閱讀模式,漫画阅读模式
瀑布貼齊,Staggered grid,瀑布貼齊,瀑布流
点击打卡,Tap to check in,点击打卡,点击打卡
無法匯入帖子 {}：{},Failed to import thread {}: {},無法匯入帖子 {}：{},无法导入帖子 {}：{}
無法同步到百合會 {}：{},Failed to sync to Yamibo {}: {},無法同步到百合會 {}：{},无法同步到百合会 {}：{}
無法從百合會解除收藏,Unable to remove Yamibo favorite,無法從百合會解除收藏,无法移除百合会收藏
無法精準定位該評論,Unable to pinpoint this comment,無法精準定位該評論,无法精准定位该评论
無法精準定位，已開啟小說頁,Precise location failed; opened the novel page,無法精準定位，已開啟小說頁,无法精准定位，已开启小说页
無法識別的百合會帖子連結,Unrecognized Yamibo post link,無法識別的百合會帖子連結,无法识别的百合会帖子链接
無法載入上一頁,Failed to load previous page,無法載入上一頁,无法载入上一页
無法載入下一頁,Failed to load next page,無法載入下一頁,无法载入下一页
無法載入閱讀目錄,Failed to load reading table of contents,無法載入閱讀目錄,无法载入阅读目录
無法辨識此連結,Unrecognized link,無法辨識此連結,无法识别此链接
版區,Forum,版區,版区
狀態,Status,狀態,状态
獲取用戶資料失敗: {},Failed to load profile: {},獲取用戶資料失敗: {},获取用户资料失败: {}
獲取登入資訊失敗，請重新登入,Failed to obtain login information. Please log in again.,獲取登入資訊失敗，請重新登入,获取登录信息失败，请重新登录
生日,Birthday,生日,生日
用戶,User,用戶,用户
用戶空間/日志,User space/blogs,用戶空間/日志,用户空间/日志
用戶組,User group,用戶組,用户组
略過刪除確認,Skip deletion confirmation,略過刪除確認,跳过删除确认
登入,Log in,登入,登录
登入狀態已失效，無法檢查 {},"Login expired, cannot check {}",登入狀態已失效，無法檢查 {},登录状态已失效，无法检查 {}
登入狀態已更新，但仍無法取得 formHash。,"Login state was refreshed, but formHash is still unavailable.",登入狀態已更新，但仍無法取得 formHash。,登录状态已更新，但仍无法获取 formHash。
登入資訊過期，請重新登入,Login expired. Please sign in again.,登入資訊過期，請重新登入,登录信息过期，请重新登录
登入頁面,Login page,登入頁面,登录页面
登出,Sign out,登出,登出
發布,Release,發布,发布
發布頁,Release page,發布頁,发布页
發帖成功,Post successful,發帖成功,发帖成功
發日志,Post blog,發日志,发日志
發消息,Send message,發消息,发消息
發現新版本 {},New version {} available,發現新版本 {},发现新版本 {}
發表回復,Post a reply,發表回復,发表回复
發表帖子,Post thread,發表帖子,发表帖子
發表於 {},Posted at {},發表於 {},发表于 {}
發送,Send,發送,发送
發送中,Sending,發送中,发送中
發送回覆,Send reply,發送回覆,发送回复
百合會已收藏，但未取得收藏識別碼,Bookmarked on Yamibo but no favorite ID was returned,百合會已收藏，但未取得收藏識別碼,百合會已收藏，但未取得收藏識別碼
百合會收藏已同步到本地,Yamibo favorites synced to local,百合會收藏已同步到本地,百合会收藏已同步到本地
百合會收藏識別碼不可用。請到收藏頁使用「同步百合會收藏」重新對齊識別碼後再試。,The Yamibo favorite ID is unavailable. Use Sync Yamibo Favorites on the Favorites page to realign IDs before retrying.,百合會收藏識別碼不可用。請到收藏頁使用「同步百合會收藏」重新對齊識別碼後再試。,百合会收藏标识码不可用。请到收藏页使用“同步百合会收藏”重新对齐标识码后再试。
百合會目前維護中。,Yamibo is under maintenance.,百合會目前維護中。,百合会目前维护中。
百合會目前維護中，請稍後再試。,Yamibo is under maintenance. Please try again later.,百合會目前維護中，請稍後再試。,百合会目前维护中，请稍后再试。
百合會維護中...現在不是簽到的好時機呢,Yamibo under maintenance... not a good time to sign in.,百合會維護中...現在不是簽到的好時機呢,百合会维护中...现在不是签到的好时机呢
百合會維護中，無法檢查 {},"Yamibo is under maintenance, cannot check {}",百合會維護中，無法檢查 {},百合会维护中，无法检查 {}
百合會論壇,Yamibo Forum,百合會論壇,百合会论坛
目前已是最新版本：{},You are on the latest version: {},目前已是最新版本：{},目前已是最新版本：{}
目前未登入百合會。,Not signed in to Yamibo.,目前未登入百合會。,目前未登录百合会。
目前未登入百合會，無法同步刪除網站收藏。,"Not signed in to Yamibo, so website favorites cannot be deleted.",目前未登入百合會，無法同步刪除網站收藏。,目前未登录百合会，无法同步删除网站收藏。
目前未登入百合會，無法同步收藏。,"Not signed in to Yamibo, so favorites cannot be synced.",目前未登入百合會，無法同步收藏。,目前未登录百合会，无法同步收藏。
目前未登入百合會，請重新登入後再同步。,Not signed in to Yamibo. Sign in again and retry sync.,目前未登入百合會，請重新登入後再同步。,目前未登录百合会，请重新登录后再同步。
目前未登入，無法使用站內搜尋,Currently not logged in. Site search is unavailable.,目前未登入，無法使用站內搜尋,目前未登录，无法使用站内搜索
目前無法啟動背景同步，請在 App 前景時重試。,Background sync cannot be started at this time. Please try again while the app is in the foreground.,目前無法啟動背景同步，請在 App 前景時重試。,目前无法启动后台同步，请在应用前台时重试。
目前無法自動簽到，請改用手動模式,Automatic sign-in is currently unavailable. Please use manual mode instead.,目前無法自動簽到，請改用手動模式,目前无法自动签到，请改用手动模式
目前章節：{},Current chapter: {},目前章節：{},当前章节：{}
目前第 {} / {} 頁,Page {} of {},目前第 {} / {} 頁,目前第 {} / {} 页
目前緩存大小：{},Current cache size: {},目前緩存大小：{},目前缓存大小：{}
目前缺少 {} 項必要權限。處理完後，背景同步通知才能正常顯示。,{} required permissions are missing. Background sync notifications will work properly after they are granted.,目前缺少 {} 項必要權限。處理完後，背景同步通知才能正常顯示。,目前缺少 {} 项必要权限。处理完成后，后台同步通知才能正常显示。
目前背景同步所需的主要存取都已就緒。,Main access required for background sync is now ready.,目前背景同步所需的主要存取都已就緒。,目前后台同步所需的主要权限都已就绪。
目前選取的收藏中，至少有一項存在於多個收藏路徑。,At least one selected favorite exists in multiple favorite paths.,目前選取的收藏中，至少有一項存在於多個收藏路徑。,当前选取的收藏中，至少有一项存在于多个收藏路径中。
目前還沒有收藏,No favorites yet,目前還沒有收藏,目前还没有收藏
目前還沒有閱讀歷史紀錄,No reading history yet,目前還沒有閱讀歷史紀錄,目前还没有阅读历史记录
目录,Table of contents,目录,目录
目標類別：{},Target category: {},目標類別：{},目标类别：{}
目錄,Table of contents,目錄,目录
直屬收藏 {} 筆，集合內收藏 {} 筆。,{} direct favorites and {} favorites inside collections.,直屬收藏 {} 筆，集合內收藏 {} 筆。,直属收藏 {} 个，集合内收藏 {} 个。
直方圖,Histogram,直方圖,直方图
確定,Confirm,確定,确定
確定要取消收藏嗎,Are you sure you want to remove this favorite?,確定要取消收藏嗎,确定要取消收藏吗
確認作者頁 {} / {},Confirming author page {} / {},確認作者頁 {} / {},确认作者页 {} / {}
社群,Community,社群,社群
移動,Move,移動,移动
移除原始條目,Remove original entry,移除原始條目,移除原始条目
移除收藏失敗,Failed to remove favorites,移除收藏失敗,移除收藏失败
移除書籤,Remove bookmark,移除書籤,移除书签
積分,Points,積分,积分
立即清除所有緩存,Clear all cache now,立即清除所有緩存,立即清除所有缓存
章節,Chapter,章節,章节
章節列表,Chapter list,章節列表,章节列表
第 {} 頁,Page {},第 {} 頁,第 {} 页
第 {} 頁載入失敗，點擊重試,Page {} failed to load. Tap to retry,第 {} 頁載入失敗，點擊重試,第 {} 页载入失败，点击重试
第{} ‧ {},Page {} ‧ {},第{} ‧ {},第{} ‧ {}
第{} ‧ {} ‧ {}/{},Page {} ‧ {} ‧ {}/{},第{} ‧ {} ‧ {}/{},第{} ‧ {} ‧ {}/{}
第{}樓,Floor {},第{}樓,第{}楼
第{}頁,Page {},第{}頁,第{}页
筆記,Notes,筆記,笔记
简体中文,Simplified Chinese,簡體中文,简体中文
管理收藏類別,Manage favorite categories,管理收藏類別,管理收藏类别
管理組,Management group,管理組,管理组
管理類別,Manage categories,管理類別,管理类别
管理類別、整理排序與收藏互動設定,"Manage categories, sorting, and favorite interaction settings",管理類別、整理排序與收藏互動設定,管理类别、整理排序与收藏互动设置
篩選,Filter,篩選,筛选
篩選類別,Filter categories,篩選類別,筛选类别
簡繁轉換,Simplified-Traditional Chinese conversion,簡繁轉換,简繁转换
簡體,Simplified Chinese,簡體,简体
簽到模式,Sign-in mode,簽到模式,签到模式
簽到行為,Sign-in behavior,簽到行為,签到行为
簽到設定,Daily Sign-in,簽到設定,签到设置
簽到資訊,Sign-in information,簽到資訊,签到信息
簽到頁載入失敗,Sign-in page failed to load,簽到頁載入失敗,签到页载入失败
簽到頁載入失敗：{},Sign-in page failed to load: {},簽到頁載入失敗：{},签到页载入失败：{}
系統列,System bar,系統列,系统栏
系統目前不允許啟動背景同步，請在 App 前景時重試。,The system currently does not allow starting background sync. Please try again with the app in the foreground.,系統目前不允許啟動背景同步，請在 App 前景時重試。,系统目前不允许启动后台同步，请在应用前台时重试。
系統目前不會因電池最佳化優先中止這個 App 的背景同步。,The system currently does not prioritize stopping this app's background sync due to battery optimization.,系統目前不會因電池最佳化優先中止這個 App 的背景同步。,系统目前不会因电池优化优先中止这个应用的后台同步。
系統目前已關閉這個 App 的通知。請重新打開，不然同步仍然不會顯示在通知欄。,"Notifications for this app are currently turned off. Please turn them back on, otherwise sync progress will not appear in the notification bar.",系統目前已關閉這個 App 的通知。請重新打開，不然同步仍然不會顯示在通知欄。,系统目前已关闭这个应用的通知。请重新开启，否则同步进度仍不会显示在通知栏。
紀錄,History,紀錄,记录
網站收藏列表出現重複帖子：{},Duplicate thread found in website favorites: {},網站收藏列表出現重複帖子：{},网站收藏列表出现重复帖子：{}
編輯,Edit,編輯,编辑
編輯筆記,Edit note,編輯筆記,编辑笔记
編輯集合,Edit collection,編輯集合,编辑集合
編輯類別,Edit category,編輯類別,编辑类别
緩存空間與啟動時清理設定,Cache storage and startup cleanup settings,緩存空間與啟動時清理設定,缓存空间与启动时清理设置
總時數,Total hours,總時數,总时长
總積分,Total points,總積分,总积分
總積分 +{},Total score +{},總積分 +{},总积分 +{}
總積分 {},Total points {},總積分 {},总积分 {}
繁體,Traditional Chinese,繁體,繁体
繁體中文,Traditional Chinese,繁體中文,繁体中文
繼續,Continue,繼續,继续
繼續同步,Continue syncing,繼續同步,继续同步
繼續檢查收藏更新,Continuing favorite update check,繼續檢查收藏更新,继续检查收藏更新
繼續閱讀,Continue reading,繼續閱讀,继续阅读
置頂,Pinned,置頂,置顶
聊天,Chat,聊天,聊天
背景同步中,Background sync in progress,背景同步中,后台同步中
背景同步任務已中斷，可重新同步。,Background sync task interrupted. You can resync.,背景同步任務已中斷，可重新同步。,后台同步任务已中断，可重新同步。
背景同步必須能在通知欄顯示進度。這項可直接在 App 內授予。,Background sync must be able to display progress in the notification bar. This permission can be granted directly within the app.,背景同步必須能在通知欄顯示進度。這項可直接在 App 內授予。,后台同步必须能在通知栏显示进度。该权限可直接在应用内授予。
背景同步週期,Background sync interval,背景同步週期,后台同步周期
自動進行補簽,Auto make-up sign-in,自動進行補簽,自动进行补签
自定義頭銜,Custom title,自定義頭銜,自定义头衔
若等待過久可重新載入,If the wait is too long, you can reload,若等待過久可重新載入,若等待过久可重新加载
若裝置廠商額外限制背景執行，可從這裡進入系統 App 設定再調整。,"If your device manufacturer imposes additional restrictions on background execution, you can access system app settings here to adjust.",若裝置廠商額外限制背景執行，可從這裡進入系統 App 設定再調整。,若设备厂商额外限制后台运行，可从这里进入系统应用设置再调整。
行距,Line spacing,行距,行距
行距比例,Line spacing ratio,行距比例,行距比例
补签,Make-up sign-in,补签,补签
補簽,Make-up sign-in,補簽,补签
複製,Copy,複製,复制
複製文字,Copy text,複製文字,复制文字
複製連結,Copy link,複製連結,复制链接
複製連結地址,Copy link address,複製連結地址,复制链接地址
複製連結文字,Copy link text,複製連結文字,复制链接文字
要將此收藏同步到百合會嗎？,Do you want to sync this favorite to Yamibo?,要將此收藏同步到百合會嗎？,要将此收藏同步到百合会吗？
要將此收藏從百合會網站移除嗎？,Do you want to remove this favorite from the Yamibo website?,要將此收藏從百合會網站移除嗎？,要将此收藏从百合会网站移除吗？
解散,Disband,解散,解散
解析連結,Parsing link,解析連結,解析链接
觸控分區,Touch zones,觸控分區,触控分区
記住這次選擇,Remember this choice,記住這次選擇,记住这次选择
設定,Settings,設定,设置
設定功能開發中,Settings function is under development,設定功能開發中,设置功能开发中
設為RSS封面,Set as RSS cover,設為RSS封面,设为RSS封面
設為封面,Set as cover,設為封面,设为封面
設為標籤封面,Set as tag cover,設為標籤封面,设为标签封面
評分,Score,評分,评分
評分失敗: {},Rating failed: {},評分失敗: {},评分失败: {}
評分成功，刷新後更新評分/點評狀態,Rating successful. Refresh to update rating/review status.,評分成功，刷新後更新評分/點評狀態,评分成功，刷新后更新评分/点评状态
評分理由,Rating reason,評分理由,评分理由
評論,Comment,評論,评论
評論中...,Commenting...,評論中...,评论中...
語言,Language,語言,语言
說明,About,說明,说明
請保持 App 在前景後再開始同步。,Please keep the app in the foreground before starting sync.,請保持 App 在前景後再開始同步。,请保持应用在前台后再开始同步。
請先允許通知權限，背景同步才會顯示在通知欄。,Please allow notification permission first for background sync to appear in the notification bar.,請先允許通知權限，背景同步才會顯示在通知欄。,请先允许通知权限，后台同步才会显示在通知栏。
請先打開簽到頁 WebView 讓程式抓到頁面內容，或使用下方按鈕手動刷新。,"Please open the sign-in page WebView first to let the app capture the page content, or use the button below to manually refresh.",請先打開簽到頁 WebView 讓程式抓到頁面內容，或使用下方按鈕手動刷新。,请先打开签到页 WebView 让程序获取页面内容，或使用下方按钮手动刷新。
請先登入後再搜尋,Please log in first before searching,請先登入後再搜尋,请先登录后再搜索
請先登入後再發送消息,Please log in first before sending messages,請先登入後再發送消息,请先登录后再发送消息
請先登入後再評論,Please log in first before commenting,請先登入後再評論,请先登录后再评论
請先輸入類別名稱,Please enter the category name first,請先輸入類別名稱,请先输入类别名称
請稍後再試,Please try again later,請稍後再試,请稍后再试
請輸入內容,Please enter content,請輸入內容,请输入内容
請輸入內容...,Please enter content...,請輸入內容...,请输入内容...
請輸入評論內容,Please enter comment content,請輸入評論內容,请输入评论内容
請輸入類別名稱,Please enter a category name,請輸入類別名稱,请输入类别名称
讀取 findpost 定位頁,Reading findpost location page,讀取 findpost 定位頁,读取 findpost 定位页
讀取失敗,Read failed,讀取失敗,读取失败
讀取帖子首頁,Reading thread home page,讀取帖子首頁,读取帖子首页
跟隨系統,Follow system,跟隨系統,跟随系统
跳轉,Jump,跳轉,跳转
跳轉到收藏,Jump to favorites,跳轉到收藏,跳转到收藏
跳轉到首頁,Jump to homepage,跳轉到首頁,跳转到首页
跳過,Skip,跳過,跳过
載入失敗,Loading failed,載入失敗,载入失败
"載入失敗, 可選擇直接填寫",Failed to load; you can enter manually,"載入失敗, 可選擇直接填寫","载入失败, 可选择直接填写"
載入失敗: {},Load failed: {},載入失敗: {},载入失败: {}
載入更多評論,Loading more comments,載入更多評論,载入更多评论
載入第 {} 頁失敗: {},Failed to load page {}: {},載入第 {} 頁失敗: {},载入第 {} 页失败: {}
載入錯誤：{},Load error: {},載入錯誤：{},载入错误：{}
輕觸區域,Tap area,輕觸區域,轻触区域
輸入內容...,Enter content...,輸入內容...,输入内容...
輸入本地筆記...,Enter local note...,輸入本地筆記...,输入本地笔记...
